ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + CRIM + NOX + RAD + DIS,5,70.8759537508445,0.707836212265579,0.7019219655503073,27.015732263201926,-37.56426573818379,-16.363928805818674,13.784449887279694
LSTAT + CRIM + NOX + RAD + B,5,72.73226943529293,0.6988784622302654,0.6927828845426189,34.06153689419233,-30.079352521493547,-8.879015589128429,14.252784238607937
LSTAT + CRIM + NOX + RAD + ZN,5,72.7345183178622,0.6982961130370304,0.6921887469041768,34.0700727199432,-29.10391205171652,-7.903575119351402,14.193532613404273
LSTAT + CRIM + NOX + DIS + B,5,70.95035498172975,0.7085934524847537,0.702694534518858,27.298128485738005,-37.26440216956678,-16.06406523720166,13.759289639282942
LSTAT + CRIM + NOX + DIS + ZN,5,68.67838418725746,0.7270617564129505,0.7215366907532936,18.674669405326142,-52.980747632762245,-31.780410700397127,12.971631948069067
LSTAT + CRIM + NOX + B + ZN,5,72.89772561263302,0.6994701993833764,0.6933866001806107,34.689539938230155,-29.285885753245566,-8.085548820880447,14.193953792446695
LSTAT + CRIM + AGE + PTRATIO + RAD,5,69.43500120890343,0.7354614282103551,0.730106396392751,21.546473894002474,-61.0912202910107,-39.89088335864558,12.603503638805945
LSTAT + CRIM + AGE + PTRATIO + DIS,5,69.99052206991628,0.7304974486247389,0.7250419313904218,23.655000739908644,-56.10441144968286,-34.90407451731774,12.757651282940351
LSTAT + CRIM + AGE + PTRATIO + B,5,69.51075022611575,0.7329009916048592,0.7274941290867389,21.833985754586763,-58.68335630713045,-37.483019374765334,12.802067888002059
LSTAT + CRIM + AGE + PTRATIO + ZN,5,69.81636483497279,0.7303533767359589,0.7248949430666463,22.993972089035594,-55.66674836440768,-34.46641143204256,12.756802843705012
LSTAT + CRIM + AGE + RAD + DIS,5,72.07326356560866,0.7000788417129022,0.6940075632050662,31.560223864641046,-31.99545347715059,-10.795116544785472,14.1882220477795
LSTAT + CRIM + AGE + RAD + B,5,71.89701043504674,0.7019098197989427,0.6958756056248323,30.891240063047633,-33.73102539987792,-12.530688467512803,14.174894378228371
LSTAT + CRIM + AGE + RAD + ZN,5,71.17276607553855,0.706832668326924,0.7008981069570237,28.142308776768232,-36.55379047599877,-15.353453543633648,13.882563986599159
LSTAT + CRIM + AGE + DIS + B,5,71.66437533671527,0.7032571939443167,0.697250254550477,30.008253690155016,-34.50817813412664,-13.30784120176152,14.08524124369741
LSTAT + CRIM + AGE + DIS + ZN,5,70.13875264531713,0.718757233214314,0.7130640597975997,24.217622541449884,-46.41366521389233,-25.21332828152721,13.474413548602804
LSTAT + CRIM + AGE + B + ZN,5,71.0162408501464,0.7090421411482816,0.703152305948854,27.54820392317356,-38.12941667572227,-16.92907974335715,13.797278578191884
LSTAT + CRIM + PTRATIO + RAD + DIS,5,69.5324212910435,0.7350389621803175,0.7296753784187855,21.916240131310303,-60.555760278695686,-39.35542334633057,12.60872213280785
LSTAT + CRIM + PTRATIO + RAD + B,5,69.10344891530436,0.7378138743302999,0.7325064628794962,20.288038863136535,-63.40898310702636,-42.20864617466124,12.582485786132375
LSTAT + CRIM + PTRATIO + RAD + ZN,5,69.7235686267382,0.7321435918293648,0.7267213973319835,22.641756159818897,-57.75006992836245,-36.54973299599733,12.655389214475822
LSTAT + CRIM + PTRATIO + DIS + B,5,69.53825313011403,0.7336746306576183,0.728283428849068,21.93837537429431,-59.115339331697214,-37.915002399332096,12.751965529205084
LSTAT + CRIM + PTRATIO + DIS + ZN,5,69.50079951247605,0.7344403523667192,0.7290646509976244,21.7962169715982,-59.06739823713525,-37.86706130477013,12.61721480678007
LSTAT + CRIM + PTRATIO + B + ZN,5,70.59981428692642,0.7269540783742101,0.7214268329971698,25.967621357296764,-52.397630048577525,-31.197293116212407,12.946357638563095
LSTAT + CRIM + RAD + DIS + B,5,71.77326705299787,0.7031428624238244,0.6971336086267358,30.421561494042066,-34.4651206025398,-13.26478367017468,14.118584496805124
LSTAT + CRIM + RAD + DIS + ZN,5,70.35646743436675,0.7181825014846098,0.7124776938223549,25.043977606901308,-45.989813408818975,-24.789476476453856,13.521791293166222
LSTAT + CRIM + RAD + B + ZN,5,72.62955491740844,0.7009680946483123,0.6949148172120434,33.67167517409621,-31.542292221975515,-10.341955289610397,14.0659039427772
LSTAT + CRIM + DIS + B + ZN,5,70.05560847266283,0.7219708715056614,0.7163427514956545,23.902041737152786,-49.27593355552034,-28.07559662315522,13.398340441848793
LSTAT + INDUS + TAX + NOX + AGE,5,76.31318301760233,0.6863617534604052,0.680012801101304,47.65320005406522,-16.855762954866066,4.344573977499053,15.276163032053844
LSTAT + INDUS + TAX + NOX + PTRATIO,5,74.83483787156,0.7045343954551933,0.6985533103429502,42.0420148642562,-28.805564238852753,-7.605227306487635,14.366679566881418
LSTAT + INDUS + TAX + NOX + RAD,5,77.06395031041149,0.6792328634375233,0.672739601563789,50.50280139762259,-10.939450608840957,10.260886323524161,15.505165106327242
LSTAT + INDUS + TAX + NOX + DIS,5,75.43719640978605,0.6918701548380457,0.6856327085797065,44.328318111977126,-20.485522176496033,0.7148147558690852,15.039183240627017
LSTAT + INDUS + TAX + NOX + B,5,77.29971720235565,0.6816542506309925,0.6752100046923486,51.397674760494624,-12.681075894567755,8.519261037797364,15.289316861503274
